song,genre,bpm,energy,danceability,loudness,speechiness,acousticness,liveness,valence,popularity
American Idiot,R&B,0.9029126213592232,0.99,0.3958333333333333,1.0,0.109090909090909,0.0,0.3737373737373737,0.7777777777777778,0.78
Breaking the Habit,Metal,0.4854368932038835,0.85,0.6041666666666666,2.5,0.0545454545454545,0.1111111111111111,0.0909090909090909,0.5858585858585859,0.65
Come Undone,Hip hop,0.8155339805825242,0.57,0.3958333333333333,2.5,0.0545454545454545,0.0404040404040404,0.3535353535353535,0.2626262626262626,0.56
Sweet Jane,Rock,0.558252427184466,0.46,0.8645833333333334,5.0,0.109090909090909,0.4848484848484848,0.7070707070707071,0.8888888888888888,0.43
Run,Lofi,0.3640776699029126,0.64,0.3854166666666667,3.0,0.0545454545454545,0.0,0.1717171717171717,0.202020202020202,0.65
"You're The First, The Last, My Everything",Gospel,0.6359223300970874,0.72,0.6666666666666666,3.5,0.0727272727272727,0.0101010101010101,0.1414141414141414,0.8080808080808081,0.67
The Day After Tomorrow,Lofi,0.3689320388349514,0.77,0.4791666666666667,2.5,0.0545454545454545,0.0101010101010101,0.1414141414141414,0.3535353535353535,0.51
Just Breathe,Pop,0.5242718446601942,0.35,0.4895833333333333,5.5,0.0545454545454545,0.7272727272727273,0.0808080808080808,0.2828282828282828,0.69
Dansen Aan Zee,R&B,0.941747572815534,0.43,0.3645833333333333,5.5,0.0545454545454545,0.1616161616161616,0.101010101010101,0.2626262626262626,0.52
Goodbye My Lover,Pop,0.4368932038834951,0.26,0.4479166666666667,6.5,0.0909090909090909,0.9595959595959596,0.0909090909090909,0.2727272727272727,0.69
The Unforgiven III,Metal,0.5922330097087378,0.77,0.3125,1.5,0.0545454545454545,0.0,0.1212121212121212,0.0909090909090909,0.52
Hurt,R&B,0.7233009708737864,0.3,0.34375,3.5,0.0545454545454545,0.7878787878787878,0.1111111111111111,0.1414141414141414,0.67
Grounds for Divorce,R&B,0.4466019417475728,0.76,0.5416666666666666,2.5,0.0545454545454545,0.4242424242424242,0.5757575757575758,0.6363636363636364,0.43
Sometimes You Can't Make It On Your Own,Country,0.4660194174757281,0.6,0.5520833333333334,3.0,0.0363636363636363,0.0,0.1111111111111111,0.3535353535353535,0.57
"Listen (From the Motion Picture ""Dreamgirls"")",Jazz,0.5970873786407767,0.59,0.5,2.5,0.0909090909090909,0.2727272727272727,0.1818181818181818,0.202020202020202,0.44
I Want It That Way,R&B,0.4805825242718446,0.7,0.71875,3.0,0.0545454545454545,0.2222222222222222,0.1616161616161616,0.4848484848484848,0.77
Goin To The Run,Hip hop,0.6019417475728155,0.59,0.4895833333333333,4.0,0.0545454545454545,0.4242424242424242,0.2828282828282828,0.1818181818181818,0.38
De Neus Umhoeg,Lofi,0.6407766990291263,0.41,0.6458333333333334,7.0,0.0545454545454545,0.0707070707070707,0.101010101010101,0.5151515151515151,0.32
Solitary Man,Rock,0.4174757281553398,0.56,0.4583333333333333,3.5,0.0545454545454545,0.3535353535353535,0.2525252525252525,0.7070707070707071,0.47
Smoorverliefd,R&B,0.8058252427184466,0.75,0.7291666666666666,4.5,0.1818181818181818,0.1313131313131313,0.1919191919191919,0.9191919191919192,0.48
Me Gustas Tu,K pop,0.8543689320388349,0.74,0.6875,3.5,0.1454545454545454,0.6666666666666666,0.2222222222222222,0.9191919191919192,0.7
Kryptonite,R&B,0.4805825242718446,0.87,0.5729166666666666,3.0,0.0545454545454545,0.0101010101010101,0.1717171717171717,0.5454545454545454,0.77
Crazy,Folk,0.5,0.86,0.65625,3.5,0.0909090909090909,0.2121212121212121,0.0707070707070707,0.7373737373737373,0.63
Family Portrait,R&B,0.4466019417475728,0.69,0.7916666666666666,2.5,0.0909090909090909,0.0303030303030303,0.5757575757575758,0.7373737373737373,0.56
In The Army Now,Lofi,0.5097087378640777,0.73,0.7083333333333334,4.0,0.0363636363636363,0.1111111111111111,0.1414141414141414,0.9494949494949496,0.59
I Surrender,Folk,0.6601941747572816,0.43,0.2916666666666667,3.5,0.0545454545454545,0.2828282828282828,0.0606060606060606,0.0707070707070707,0.55
Maybe Tomorrow,K pop,0.3932038834951456,0.65,0.5208333333333334,3.5,0.0727272727272727,0.2222222222222222,0.3333333333333333,0.5757575757575758,0.64
Make You Feel My Love,Rock,0.3737864077669903,0.18,0.5729166666666666,5.5,0.0545454545454545,0.898989898989899,0.1111111111111111,0.0909090909090909,0.73
No One Knows,Latin,0.8300970873786407,0.58,0.53125,2.5,0.109090909090909,0.0303030303030303,0.3737373737373737,0.6767676767676768,0.65
Where Do You Go To (My Lovely) - Re-Recorded,EDM,0.8883495145631068,0.44,0.5833333333333334,4.0,0.0545454545454545,0.2929292929292929,0.1212121212121212,0.4444444444444444,0.58
The Wild Rover,Latin,0.8640776699029126,0.68,0.3125,4.0,0.4545454545454545,0.8383838383838383,0.4343434343434343,0.7777777777777778,0.46
Little Lion Man,Lofi,0.6747572815533981,0.48,0.5416666666666666,4.0,0.0545454545454545,0.0303030303030303,0.0909090909090909,0.4646464646464646,0.67
Dirty Diana,K pop,0.6359223300970874,0.8,0.78125,2.5,0.0909090909090909,0.2424242424242424,0.4242424242424242,0.3737373737373737,0.55
Ne me quitte pas,Pop,0.4902912621359223,0.24,0.4375,5.5,0.0909090909090909,0.8282828282828283,0.1919191919191919,0.303030303030303,0.58
Sad Man's Tongue,Rock,0.5339805825242718,0.96,0.4479166666666667,2.0,0.0727272727272727,0.0,0.1717171717171717,0.5656565656565656,0.57
