song,genre
"Rapper's Delight (7"" Single Version)",Hip hop
"Rapper's Delight (7"" Single Version)",Rap
It's Your Love,Country
Lip Gloss,Hip hop
Lip Gloss,Rap
Don't Let the Old Man In,Country
In the End,Rock
Hope You Get Lonely Tonight,Country
One,Pop
Tonight Is the Night,Pop
Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off,Rock
You Are Not Alone (Single Version),Pop
Heavydirtysoul,Jazz
Can't Take My Eyes Off You,Rock
Thriller,Pop
Drive,Lofi
Will You Be There (Single Version),Pop
I Mean It (feat. Remo),Hip hop
I Mean It (feat. Remo),Rap
Don't Stop (Color On the Walls),Folk
Anywhere with You,Country
"Sucker for Pain (with Logic, Ty Dolla $ign & X Ambassadors)",Hip hop
"Sucker for Pain (with Logic, Ty Dolla $ign & X Ambassadors)",Rap
Grenade,Pop
"December, 1963 (Oh, What a Night)",Rock
My Shot,Rock
Daughters,Rock
So Small,Country
Tightrope,R&B
You'll Be Back,Gospel
(Kissed You) Good Night,Country
Californication,Rock
"Lolli Lolli (Pop That Body) [feat. Project Pat, Young D & SuperPower]",Hip hop
"Lolli Lolli (Pop That Body) [feat. Project Pat, Young D & SuperPower]",Rap
Highway to Hell,Rock
Hotel California,Rock
This Is Gospel,R&B
Afire Love,Pop
Solo,Pop
Remember the Time,Pop
I Want It That Way,Pop
I Want to Know What Love Is,Rock
Summertime,Country
"i hate u, i love u (feat. Olivia O'Brien)",Pop
Give Me One Reason,Jazz
Give Me One Reason,Video game music
The Anthem (feat. Lil Jon),Hip hop
The Anthem (feat. Lil Jon),Rap
Bloodstream,Pop
How to Save a Life (New Version),Rock
Big Poppa (2005 Remaster),Hip hop
Big Poppa (2005 Remaster),Rap
Satisfied,Hip hop
Scar Tissue,Rock
Gypsy,Rock
If I Ain't Got You,R&B
If I Ain't Got You,Classical
Cashin' Out,Hip hop
Cashin' Out,Rap
Fight Song,Pop
Afterlife,Rock
Diana,Pop
The Schuyler Sisters,Country
Lane Boy,Rock
Dark Side,Pop
Never Enough (Reprise),Jazz
Hells Bells,Rock
Chillin' It,Country
If You're Going Through Hell (Before the Devil Even Knows),Country
You Need To Calm Down,Pop
A Million Dreams (Reprise),Pop
Semi-Charmed Life,Video game music
Ghost,Pop
One Day,Folk
Light On,Pop
When the Stars Go Blue,Country
Ignition (Remix),R&B
Ignition (Remix),Video game music
Locked Away (feat. Adam Levine),Pop
Beautiful,Pop
No Surprise,Rock
Amazed,Country
Breakaway,Pop
Picture (feat. Sheryl Crow),Rock
Helpless,Metal
Sound of Madness,Rock
Africa,Rock
Take a Back Road,Country
Victorious,Country
The Story,Metal
The Story,Classical
Fairly Local,Gospel
Both of Us (feat. Taylor Swift),Hip hop
